id,title,timestamp,previous_screen,user_action,next_screen,section,confidence,data_requested,free_or_premium,open_questions
129,Dashboard and daily logging observed state,08:09,128,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",130,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
130,Dashboard and daily logging observed state,08:12,129,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",131,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
131,Dashboard and daily logging observed state,08:21,130,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",132,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
132,Dashboard and daily logging observed state,08:24,131,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",133,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
133,Water and weight tracking,08:27,132,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",134,Dashboard and daily logging,High,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
134,Dashboard and daily logging observed state,08:33,133,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",135,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
135,Dashboard and daily logging observed state,08:39,134,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",136,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
136,Dashboard and daily logging observed state,08:42,135,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",137,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
137,Dashboard and daily logging observed state,08:45,136,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",138,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
138,Dashboard and daily logging observed state,08:48,137,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",139,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
139,Dashboard and daily logging observed state,08:54,138,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",140,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
140,Dashboard and daily logging observed state,08:57,139,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",141,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
141,Dashboard and daily logging observed state,09:00,140,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",142,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
142,Dashboard and daily logging observed state,09:03,141,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",143,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
143,Dashboard and daily logging observed state,09:09,142,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",144,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
144,Water intake settings,09:12,143,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",145,Dashboard and daily logging,High,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
145,Dashboard and daily logging observed state,09:15,144,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",146,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
146,Dashboard and daily logging observed state,09:18,145,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",147,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
147,Dashboard analyzing state,09:21,146,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",148,Dashboard,High,Cycle prediction and dashboard content cards.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
148,Dashboard observed state,09:24,147,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",149,Dashboard,Medium,Cycle prediction and dashboard content cards.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
149,Dashboard observed state,09:27,148,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",150,Dashboard,Medium,Cycle prediction and dashboard content cards.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
150,Dashboard observed state,09:30,149,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",151,Dashboard,Medium,Cycle prediction and dashboard content cards.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
151,PMS or pregnancy card,09:33,150,Observed chat continuation or answer selection.,152,Health Assistant/chat,High,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
152,Health Assistant/chat observed state,09:36,151,Observed chat continuation or answer selection.,153,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
153,Health Assistant welcome,09:39,152,Observed chat continuation or answer selection.,154,Health Assistant/chat,High,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
154,Health Assistant/chat observed state,09:42,153,Observed chat continuation or answer selection.,155,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
155,Health Assistant/chat observed state,09:45,154,Observed chat continuation or answer selection.,156,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
156,Health Assistant/chat observed state,09:48,155,Observed chat continuation or answer selection.,157,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
157,Health Assistant/chat observed state,09:51,156,Observed chat continuation or answer selection.,158,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
158,Questionnaire scope explanation,09:54,157,Observed chat continuation or answer selection.,159,Health Assistant/chat,High,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
159,Health Assistant/chat observed state,10:00,158,Observed chat continuation or answer selection.,160,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
160,Health Assistant/chat observed state,10:06,159,Observed chat continuation or answer selection.,161,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
161,Expert attribution,10:09,160,Observed chat continuation or answer selection.,162,Health Assistant/chat,High,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
162,Health Assistant/chat observed state,10:12,161,Observed chat continuation or answer selection.,163,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
163,Health Assistant/chat observed state,10:15,162,Observed chat continuation or answer selection.,164,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
164,Health Assistant/chat observed state,10:18,163,Observed chat continuation or answer selection.,165,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
165,Health Assistant/chat observed state,10:21,164,Observed chat continuation or answer selection.,166,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
166,Escalation warning guidance,10:24,165,Observed chat continuation or answer selection.,167,Health Assistant/chat,High,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
167,Health Assistant/chat observed state,10:27,166,Observed chat continuation or answer selection.,168,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
168,Health Assistant/chat observed state,10:36,167,Observed chat continuation or answer selection.,169,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
169,Health Assistant/chat observed state,10:51,168,Observed chat continuation or answer selection.,170,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
170,Health Assistant/chat observed state,10:54,169,Observed chat continuation or answer selection.,171,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
171,Health Assistant/chat observed state,10:57,170,Observed chat continuation or answer selection.,172,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
172,Health Assistant/chat observed state,11:00,171,Observed chat continuation or answer selection.,173,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
173,Health Assistant/chat observed state,11:03,172,Observed chat continuation or answer selection.,174,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
174,Health Assistant/chat observed state,11:06,173,Observed chat continuation or answer selection.,175,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
175,Health Assistant/chat observed state,11:09,174,Observed chat continuation or answer selection.,176,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
176,Health Assistant/chat observed state,11:15,175,Observed chat continuation or answer selection.,177,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
177,Health Assistant/chat observed state,11:21,176,Observed chat continuation or answer selection.,178,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
178,Health Assistant/chat observed state,11:24,177,Observed chat continuation or answer selection.,179,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
179,Health Assistant/chat observed state,11:27,178,Observed chat continuation or answer selection.,180,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
180,Health Assistant/chat observed state,11:30,179,Observed chat continuation or answer selection.,181,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
181,Health Assistant/chat observed state,11:33,180,Observed chat continuation or answer selection.,182,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
182,Health Assistant/chat observed state,11:36,181,Observed chat continuation or answer selection.,183,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
183,Health Assistant/chat observed state,11:39,182,Observed chat continuation or answer selection.,184,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
184,Health Assistant/chat observed state,11:48,183,Observed chat continuation or answer selection.,185,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
185,Health Assistant/chat observed state,11:51,184,Observed chat continuation or answer selection.,186,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
186,Health Assistant/chat observed state,12:00,185,Observed chat continuation or answer selection.,187,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
187,Health Assistant/chat observed state,12:03,186,Observed chat continuation or answer selection.,188,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
188,Health Assistant/chat observed state,12:06,187,Observed chat continuation or answer selection.,189,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
189,Health Assistant/chat observed state,12:09,188,Observed chat continuation or answer selection.,190,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
190,Health Assistant/chat observed state,12:15,189,Observed chat continuation or answer selection.,191,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
191,Health Assistant/chat observed state,12:21,190,Observed chat continuation or answer selection.,192,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
192,Health Assistant/chat observed state,12:24,191,Observed chat continuation or answer selection.,193,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
193,Health Assistant/chat observed state,12:27,192,Observed chat continuation or answer selection.,194,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
194,Health Assistant/chat observed state,12:30,193,Observed chat continuation or answer selection.,195,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
195,Health Assistant/chat observed state,12:33,194,Observed chat continuation or answer selection.,196,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
196,Mood recap,12:36,195,"Observed Continue, selection, scroll, or navigation action.",197,Insights and educational content,High,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
197,Insights and educational content observed state,12:39,196,"Observed Continue, selection, scroll, or navigation action.",198,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
198,Insights and educational content observed state,12:45,197,"Observed Continue, selection, scroll, or navigation action.",199,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
199,Insights and educational content observed state,12:48,198,"Observed Continue, selection, scroll, or navigation action.",200,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
200,Insights article,12:51,199,"Observed Continue, selection, scroll, or navigation action.",201,Insights and educational content,High,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
201,Insights and educational content observed state,12:54,200,"Observed Continue, selection, scroll, or navigation action.",202,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
202,Insights and educational content observed state,12:57,201,"Observed Continue, selection, scroll, or navigation action.",203,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
203,Expert video,13:00,202,"Observed Continue, selection, scroll, or navigation action.",204,Insights and educational content,High,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
204,Insights and educational content observed state,13:06,203,"Observed Continue, selection, scroll, or navigation action.",205,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
205,Insights and educational content observed state,13:09,204,"Observed Continue, selection, scroll, or navigation action.",206,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
206,Insights and educational content observed state,13:12,205,"Observed Continue, selection, scroll, or navigation action.",207,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
207,Insights and educational content observed state,13:15,206,"Observed Continue, selection, scroll, or navigation action.",208,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
208,Insights and educational content observed state,13:24,207,"Observed Continue, selection, scroll, or navigation action.",209,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
209,Insights and educational content observed state,13:27,208,"Observed Continue, selection, scroll, or navigation action.",210,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
210,Dashboard with insights cards,13:30,209,"Observed Continue, selection, scroll, or navigation action.",211,Insights and educational content,High,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
211,Insights and educational content observed state,13:33,210,"Observed Continue, selection, scroll, or navigation action.",212,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
212,Insights and educational content observed state,13:36,211,"Observed Continue, selection, scroll, or navigation action.",213,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
213,Insights and educational content observed state,13:39,212,"Observed Continue, selection, scroll, or navigation action.",214,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
214,Insights and educational content observed state,13:42,213,"Observed Continue, selection, scroll, or navigation action.",215,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
215,Insights and educational content observed state,13:45,214,"Observed Continue, selection, scroll, or navigation action.",216,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
216,Insights and educational content observed state,13:48,215,"Observed Continue, selection, scroll, or navigation action.",217,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
217,Insights and educational content observed state,13:51,216,"Observed Continue, selection, scroll, or navigation action.",218,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
218,Insights and educational content observed state,13:54,217,"Observed Continue, selection, scroll, or navigation action.",219,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
219,Insights and educational content observed state,13:57,218,"Observed Continue, selection, scroll, or navigation action.",220,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
220,Insights and educational content observed state,14:00,219,"Observed Continue, selection, scroll, or navigation action.",221,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
221,Insights and educational content observed state,14:03,220,"Observed Continue, selection, scroll, or navigation action.",222,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
222,Insights and educational content observed state,14:06,221,"Observed Continue, selection, scroll, or navigation action.",223,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
223,Insights article detail,14:09,222,"Observed Continue, selection, scroll, or navigation action.",224,Insights and educational content,High,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
224,Insights and educational content observed state,14:12,223,"Observed Continue, selection, scroll, or navigation action.",225,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
225,Insights and educational content observed state,14:15,224,"Observed Continue, selection, scroll, or navigation action.",226,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
226,Insights and educational content observed state,14:18,225,"Observed Continue, selection, scroll, or navigation action.",227,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
227,Insights and educational content observed state,14:21,226,"Observed Continue, selection, scroll, or navigation action.",228,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
228,Insights and educational content observed state,14:24,227,"Observed Continue, selection, scroll, or navigation action.",229,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
229,Dashboard reproductive health cards,14:27,228,"Observed Continue, selection, scroll, or navigation action.",230,Insights and educational content,High,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
230,Insights and educational content observed state,14:30,229,"Observed Continue, selection, scroll, or navigation action.",231,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
231,Insights and educational content observed state,14:33,230,"Observed Continue, selection, scroll, or navigation action.",232,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
232,Sex and cycle article detail,14:36,231,"Observed Continue, selection, scroll, or navigation action.",233,Insights and educational content,High,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
233,Insights and educational content observed state,14:39,232,"Observed Continue, selection, scroll, or navigation action.",234,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
234,Insights and educational content observed state,14:42,233,"Observed Continue, selection, scroll, or navigation action.",235,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
235,Insights and educational content observed state,14:45,234,"Observed Continue, selection, scroll, or navigation action.",236,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
236,Popular in Flo feed,14:48,235,"Observed Continue, selection, scroll, or navigation action.",237,Insights and educational content,High,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
237,Insights and educational content observed state,14:51,236,"Observed Continue, selection, scroll, or navigation action.",238,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
238,Insights and educational content observed state,14:57,237,"Observed Continue, selection, scroll, or navigation action.",239,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
239,Insights and educational content observed state,15:00,238,"Observed Continue, selection, scroll, or navigation action.",240,Insights and educational content,Medium,Educational content and article/video engagement.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
240,PCOS symptom checker intro,15:09,239,Observed chat continuation or answer selection.,241,Health Assistant/chat,High,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
